Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
404,2018,4,Santa Fe,1.318,-65.4025
405,2018,4,Santiago Del Estero,631.0,16463.75
406,2018,4,Tierra Del Fuego,744.0,19430.0
407,2018,4,Tucumán,1.658,-56.477500000000006
408,2018,3,Buenos Aires,1.678,-41.27
409,2018,3,Capital Federal,2.164,-24.25999999999999
410,2018,3,Catamarca,781.0,27235.000000000004
411,2018,3,Chaco,1.289,-54.885
412,2018,3,Chubut,608.0,21180.0
413,2018,3,Córdoba,1.482,-48.13
414,2018,3,Corrientes,1.149,-59.785
415,2018,3,Entre Ríos,1.052,-63.18
416,2018,3,Formosa,932.0,32520.0
417,2018,3,Jujuy,767.0,26745.0
418,2018,3,La Pampa,428.0,14880.000000000002
419,2018,3,La Rioja,616.0,21460.000000000004
420,2018,3,Mendoza,579.0,20165.0
421,2018,3,Misiones,1.249,-56.285
422,2018,3,Neuquén,1.467,-48.655
423,2018,3,Río Negro,1.006,-64.79
424,2018,3,Salta,927.0,32345.0
425,2018,3,San Juan,574.0,19990.0
426,2018,3,San Luis,881.0,30735.000000000004
427,2018,3,Santa Cruz,537.0,18695.0
428,2018,3,Santa Fe,1.236,-56.74
429,2018,3,Santiago Del Estero,578.0,20130.0
430,2018,3,Tierra Del Fuego,599.0,20865.0
431,2018,3,Tucumán,1.526,-46.589999999999996
432,2018,2,Buenos Aires,1.468,-22.929999999999996
433,2018,2,Capital Federal,1.894,-0.5650000000000044
434,2018,2,Catamarca,769.0,40272.5
435,2018,2,Chaco,1.25,-34.375
436,2018,2,Chubut,533.0,27882.5
437,2018,2,Córdoba,1.388,-27.13
438,2018,2,Corrientes,1.088,-42.879999999999995
439,2018,2,Entre Ríos,1.019,-46.502500000000005
440,2018,2,Formosa,897.0,46992.5
441,2018,2,Jujuy,629.0,32922.5
442,2018,2,La Pampa,410.0,21425.0
443,2018,2,La Rioja,559.0,29247.500000000004
444,2018,2,Mendoza,588.0,30770.0
445,2018,2,Misiones,1.176,-38.260000000000005
446,2018,2,Neuquén,1.337,-29.807499999999997
447,2018,2,Río Negro,951.0,49827.5
448,2018,2,Salta,893.0,46782.50000000001
449,2018,2,San Juan,585.0,30612.5
450,2018,2,San Luis,590.0,30875.0
451,2018,2,Santa Cruz,519.0,27147.500000000004
452,2018,2,Santa Fe,1.175,-38.31249999999999
453,2018,2,Santiago Del Estero,591.0,30927.500000000004
454,2018,2,Tierra Del Fuego,594.0,31085.000000000004
455,2018,2,Tucumán,1.351,-29.0725
456,2018,1,Buenos Aires,1.42,49.09999999999999
457,2018,1,Capital Federal,1.775,86.375
458,2018,1,Catamarca,820.0,86000.0
459,2018,1,Chaco,1.244,30.620000000000005
460,2018,1,Chubut,542.0,56810.0
461,2018,1,Córdoba,1.279,34.29499999999999
462,2018,1,Corrientes,1.112,16.76000000000002
463,2018,1,Entre Ríos,988.0,103640.00000000001
464,2018,1,Formosa,1.106,16.130000000000024
465,2018,1,Jujuy,674.0,70670.0
466,2018,1,La Pampa,400.0,41900.0
467,2018,1,La Rioja,589.0,61745.00000000001
468,2018,1,Mendoza,588.0,61640.0
469,2018,1,Misiones,1.208,26.839999999999996
470,2018,1,Neuquén,1.196,25.580000000000002
471,2018,1,Río Negro,898.0,94190.00000000001
472,2018,1,Salta,919.0,96395.0
473,2018,1,San Juan,585.0,61325.0
474,2018,1,San Luis,589.0,61745.00000000001
475,2018,1,Santa Cruz,519.0,54395.00000000001
476,2018,1,Santa Fe,1.117,17.284999999999997
477,2018,1,Santiago Del Estero,625.0,65525.0
478,2018,1,Tierra Del Fuego,577.0,60485.0
479,2018,1,Tucumán,936.0,98180.0
480,2017,4,Buenos Aires,1.297,-65.95375
481,2017,4,Capital Federal,1.52,-60.099999999999994
482,2017,4,Catamarca,778.0,20322.500000000004
483,2017,4,Chaco,1.17,-69.28750000000001
484,2017,4,Chubut,541.0,14101.250000000002
485,2017,4,Córdoba,1.164,-69.44500000000001
486,2017,4,Corrientes,1.038,-72.7525
487,2017,4,Entre Ríos,930.0,24312.5
488,2017,4,Formosa,1.011,-73.46125
489,2017,4,Jujuy,664.0,17330.0
490,2017,4,La Pampa,398.0,10347.5
491,2017,4,La Rioja,588.0,15335.0
492,2017,4,Mendoza,571.0,14888.750000000002
493,2017,4,Misiones,1.132,-70.285
494,2017,4,Neuquén,1.072,-71.85999999999999
495,2017,4,Río Negro,805.0,21031.25
